NAME,RATING,AREA,DISHES,APPROX,DISC
BLR Brewing Co4.4,4.4,"Whitefield, East Bengaluru  | View All(6) Outlets",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Helen's Place4.2,4.2,"Marathahalli, East Bengaluru",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off
Chin Lung Brewery - Indiranagar4.7,4.7,"Indiranagar, East Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
"Atlantis - Brewpub, Cocktails & Kitchen4.1",4.1,"HSR, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Yuki Cocktail Bar & Kitchen4.7,4.7,"Indiranagar, East Bengaluru","Cocktail Menu, Pan Asian, Asian₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
46 Ounces Brewgarden4.7,4.7,"Electronic City, South Bengaluru","Multicuisine, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
The Reservoire Cocktail Bar & Kitchen4.6,4.6,"Indiranagar, East Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Khmer Kitchen4.7,4.7,"JP Nagar, South Bengaluru",Asian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Oia4.2,4.2,"Hennur, North Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
MisoSexy4.3,4.3,"Indiranagar, East Bengaluru","Pan Asian, Asian₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
The Founders Brewery4.6,4.6,"New BEL Road, North Bengaluru","Chinese, North Indian₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Nusa - Tropical Brewvilla4.1,4.1,"Gunjur Village, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
1522 - The Pub4.2,4.2,"Malleshwaram, West Bengaluru  | View All(8) Outlets","North Indian, Indian Coastal Cuisine, Chicken, Barbeque, European, Finger Food₹ 2500 for two approx.",₹ 2500 for two approx.,25% Off
Maize & Malt4.6,4.6,"Krishnarajapuram Hobli, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Koreyaki 3.5,3.5,"Indiranagar, East Bengaluru",Korean₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
ASF - Ancient Stone Flames BBQ & Grill4.8,4.8,"Kalyan Nagar, North Bengaluru  | View All(4) Outlets",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
1 BHK - Bar House Kitchen4.4,4.4,"Koramangala, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Yuki - Pan Asian Kitchen and Bar4.5,4.5,"JP Nagar, South Bengaluru",Pan Asian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
DISTRICT 64.4,4.4,"Rajajinagar, West Bengaluru","Cocktail Menu, Multicuisine₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Byg Brewski - Sarjapur4.5,4.5,"Sarjapur Road, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
The Fisherman's Wharf4.5,4.5,"Sarjapur Road, South Bengaluru  | View All(1) Outlets","Seafood, Multicuisine, Indian Coastal Cuisine₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
TAG4.4,4.4,"Indiranagar, East Bengaluru",Andhra₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Jollygunj4.3,4.3,"JP Nagar, South Bengaluru  | View All(3) Outlets",Indian₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off
The Scene - Craft Kitchen & Bar4.0,4.0,"JP Nagar, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
